smartphoneName,smartphonePrice,smartphoneLink,smartphoneImg,smartphoneBrand,smartphonePage
"Infinix SMART 6 PLUS - 6,82"" - 4G/DS - 2/64 GB - X6823 - Miracle Black",399.00 TND,/infinix-smart-6-plus-682-4gds-264-gb-x6823-miracle-black-716093.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/0617/1.jpg?9067,Infinix,1
"Infinix SMART 6 PLUS - 6,82"" - 4G/DS - 2/64 GB - X6823 - Tranquil Sea Blue",399.00 TND,/infinix-smart-6-plus-682-4gds-264-gb-x6823-tranquil-sea-blue-716092.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/0617/1.jpg?9067,Infinix,1
"Infinix SMART 6 PLUS - 6,82"" - 4G/DS - 2/64 GB - X6823 - Crystal Violet",399.00 TND,/infinix-smart-6-plus-682-4gds-264-gb-x6823-crystal-violet-716094.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/0617/1.jpg?9067,Infinix,1
"Infinix Hot 20i - 6,6"" HD+ IPS - 4GO - 128GO + Anticasse - Black - Garantie 1 an",479.00 TND,/infinix-hot-20i-66-hd-ips-4go-128go-anticasse-black-garantie-1-an-703387.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/3307/1.jpg?5808,Infinix,1
"Evertek M20 Nano - 4"" - 1G - 8G - Tifanny Blue - Garantie 1 An",169.00 TND,/evertek-m20-nano-4-1g-8g-tifanny-blue-garantie-1-an-727142.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/1727/1.jpg?4089,Evertek,1
"XIAOMI Redmi 12C - 6.71"" - 3 Go - 64 Go - Gris - Garantie 1 an",449.00 TND,/xiaomi-redmi-12c-6.71-3-go-64-go-gris-garantie-1-an-726787.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/7627/1.jpg?2549,XIAOMI,1
"Infinix Smart 7 - 6,6"" - 4GB (Up to 7GB) - 64 GB - Polar Black - Garantie 1 an",398.90 TND,/infinix-smart-7-66-4gb-up-to-7gb-64-gb-polar-black-garantie-1-an-716187.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/1617/1.jpg?8848,Infinix,1
"Evertek M20 Nano - 4"" - 1G - 8G - Noir - Garantie 1 An",169.00 TND,/evertek-m20-nano-4-1g-8g-noir-garantie-1-an-727143.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/1727/1.jpg?4089,Evertek,1
"Infinix Smart 6 HD - 6.6"" - 2 Go - 32 Go et Pochette + Anticasse - Black - Garantie 1 an",359.00 TND,/infinix-smart-6-hd-6.6-2-go-32-go-et-pochette-anticasse-black-garantie-1-an-655358.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/3556/1.jpg?4809,Infinix,1
"Infinix SMART 6 HD - 6.6"" - 4G/DS - 2/32 GB - X6512 - Force Black",369.00 TND,/infinix-smart-6-hd-6.6-4gds-232-gb-x6512-force-black-716095.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/0617/1.jpg?9966,Infinix,1
"Infinix SMART 6 HD - 6.6"" - 4G/DS - 2/32 GB - X6512 - AQUA SKY",369.00 TND,/infinix-smart-6-hd-6.6-4gds-232-gb-x6512-aqua-sky-716097.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/0617/1.jpg?9966,Infinix,1
"Infinix HOT 20 - 6,82"" -50MP - 90Hz - 7gb Ram -128GB + Anticasse et Pochette - Blanc- Garantie 1An",599.00 TND,/infinix-hot-20-682-50mp-90hz-7gb-ram-128gb-anticasse-et-pochette-blanc-garantie-1an-711079.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/0117/1.jpg?0786,Infinix,1
XIAOMI Redmi A1+ - 2 Go - 32  Go - Noir,335.00 TND,/xiaomi-redmi-a1-2-go-32-go-noir-701180.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/1107/1.jpg?1969,XIAOMI,1
"Infinix Smart 7 - 6,6"" - 7GB (4+3) Ram - 64 GB - White - Garantie 1 an",409.00 TND,/infinix-smart-7-66-7gb-43-ram-64-gb-white-garantie-1-an-718067.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/0817/1.jpg?1548,Infinix,1
"Infinix Hot 20S - 6.78"" - 120Hz - 50Mp- 13Go Ram -128 Go et Pochette+ Anticasse- Blanc Garantie 1An",699.00 TND,/infinix-hot-20s-6.78-120hz-50mp-13go-ram-128-go-et-pochette-anticasse-blanc-garantie-1an-703389.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/3307/1.jpg?5807,Infinix,1
